Verein;Status;Spieler;Punkte;RoteKarte;GelbRoteKarte;Vorlagen;Tore;SpielerDesSpiels
SC Freiburg;Start;Makengo;8;0;0;1;0;0
SC Freiburg;Start;M. Eggestein;4;0;0;0;0;0
SC Freiburg;Start;Engelhardt;6;0;0;0;0;0
SC Freiburg;Start;Beste;4;0;0;0;0;0
SC Freiburg;Start;Y. Suzuki;12;0;0;0;1;0
SC Freiburg;Start;Scherhant;20;0;0;1;1;1
SC Freiburg;Start;Matanovic;6;0;0;0;0;0
SC Freiburg;Teampunkte;;86;;;;;
Borussia Mönchengladbach;Start;Nicolas;4;0;0;0;0;0
Borussia Mönchengladbach;Start;Diks;-2;0;0;0;0;0
Borussia Mönchengladbach;Start;Leszczynski;2;0;0;0;0;0
Borussia Mönchengladbach;Start;Itakura;-2;0;0;0;0;0
Borussia Mönchengladbach;Start;Scally;0;0;0;0;0;0
Borussia Mönchengladbach;Start;Bolin;2;0;0;0;0;0
Borussia Mönchengladbach;Start;Sander;4;0;0;0;0;0
Borussia Mönchengladbach;Start;Ullrich;8;0;0;2;0;0
Borussia Mönchengladbach;Start;Honorat;0;0;0;0;0;0
Borussia Mönchengladbach;Start;Neuhaus;12;0;0;0;1;0
Borussia Mönchengladbach;Start;Lidberg;5;0;0;0;1;0
Borussia Mönchengladbach;Bank;Mohya;0;0;0;0;0;0
Borussia Mönchengladbach;Bank;Hashioka;2;0;0;0;0;0
Borussia Mönchengladbach;Bank;Stöger;2;0;0;0;0;0
Borussia Mönchengladbach;Bank;Hack;2;0;0;0;0;0
Borussia Mönchengladbach;Bank;Machino;5;0;0;0;1;0
Borussia Mönchengladbach;Teampunkte;;44;;;;;
1. FSV Mainz 05;Start;Schwolow;8;0;0;0;0;0
1. FSV Mainz 05;Start;Posch;6;0;0;0;0;0
1. FSV Mainz 05;Start;Gruber;4;0;0;0;0;0
1. FSV Mainz 05;Start;Potulski;2;0;0;0;0;0
1. FSV Mainz 05;Start;Caci;6;0;0;1;0;0
1. FSV Mainz 05;Start;Kai. Sano;10;0;0;1;0;0
1. FSV Mainz 05;Start;Mwene;-2;0;0;0;0;0
1. FSV Mainz 05;Start;Amiri;4;0;0;0;0;0
1. FSV Mainz 05;Start;J.-S. Lee;-2;0;0;0;0;0
1. FSV Mainz 05;Start;Becker;20;0;0;1;1;1
1. FSV Mainz 05;Start;P. Tietz;5;0;0;0;1;0
1. FSV Mainz 05;Teampunkte;;61;;;;;
Hamburger SV;Start;Heuer Fernandes;10;0;0;0;0;0
Hamburger SV;Start;Capaldo;20;0;0;0;1;1
Hamburger SV;Start;Torunarigha;10;0;0;0;0;0
Hamburger SV;Start;Omari;2;0;0;0;0;0
Hamburger SV;Start;El Ouahdi;6;0;0;0;0;0
Hamburger SV;Start;Sambi Lokonga;6;0;0;0;0;0
Hamburger SV;Start;Remberg;6;0;0;0;0;0
Hamburger SV;Start;Wolfe;8;0;0;0;0;0
Hamburger SV;Start;Fabio Vieira;2;0;0;0;0;0
Hamburger SV;Start;Grönbaek;12;0;0;2;0;0
Hamburger SV;Start;Moffi;-2;0;0;0;0;0
Hamburger SV;Bank;Poulsen;11;0;0;0;1;0
Hamburger SV;Bank;Daka;2;0;0;0;0;0
Hamburger SV;Bank;Lemke;2;0;0;0;0;0
Hamburger SV;Bank;Jatta;2;0;0;0;0;0
Hamburger SV;Bank;Adeline;2;0;0;0;0;0
Hamburger SV;Teampunkte;;99;;;;;
1. FC Köln;Start;Schwäbe;2;0;0;0;0;0
1. FC Köln;Start;Castro-Montes;4;0;0;0;0;0
1. FC Köln;Start;Simpson-Pusey;0;0;0;0;0;0
1. FC Köln;Start;Lochoshvili;0;0;0;0;0;0
1. FC Köln;Start;Mensah;4;0;0;0;0;0
1. FC Köln;Start;Krauß;2;0;0;0;0;0
1. FC Köln;Start;Skhiri;6;0;0;1;0;0
1. FC Köln;Start;Maina;2;0;0;0;0;0
1. FC Köln;Start;Moore;4;0;0;0;0;0
1. FC Köln;Start;S. El Mala;4;0;0;0;0;0
1. FC Köln;Start;Dallinga;0;0;0;0;0;0
1. FC Köln;Teampunkte;;28;;;;;
SV Werder Bremen;Start;Hein;6;0;0;0;0;0
SV Werder Bremen;Start;Arthur;6;0;0;0;0;0
SV Werder Bremen;Start;Pieper;6;0;0;0;0;0
SV Werder Bremen;Start;Friedl;4;0;0;0;0;0
SV Werder Bremen;Start;Deman;2;0;0;0;0;0
SV Werder Bremen;Start;Regeer;8;0;0;0;0;0
SV Werder Bremen;Start;Reis;6;0;0;0;0;0
SV Werder Bremen;Start;Chuki;8;0;0;1;0;0
SV Werder Bremen;Start;Dinkci;2;0;0;0;0;0
SV Werder Bremen;Start;Grüll;24;0;0;2;1;1
SV Werder Bremen;Start;Füllkrug;13;0;0;0;1;0
SV Werder Bremen;Bank;Weiser;6;0;0;0;1;0
SV Werder Bremen;Bank;Musah;2;0;0;0;0;0
SV Werder Bremen;Bank;Wojcik;2;0;0;0;0;0
SV Werder Bremen;Bank;Schmetgens;2;0;0;0;0;0
SV Werder Bremen;Teampunkte;;97;;;;;
FC Augsburg;Start;Dahmen;10;0;0;0;0;0
FC Augsburg;Start;Banks;-2;0;0;0;0;0
FC Augsburg;Start;Matsima;6;0;0;0;0;0
FC Augsburg;Start;Brackelmann;13;0;0;0;1;0
FC Augsburg;Start;M. Wolf;2;0;0;0;0;0
FC Augsburg;Start;Massengo;2;0;0;0;0;0
FC Augsburg;Start;Rieder;8;0;0;1;0;0
FC Augsburg;Start;Behrens;0;0;0;0;0;0
FC Augsburg;Start;Fellhauer;10;0;0;0;1;0
FC Augsburg;Start;Kömür;-2;0;0;0;0;0
FC Augsburg;Start;Gregoritsch;2;0;0;0;0;0
FC Augsburg;Teampunkte;;49;;;;;
VfB Stuttgart;Start;Bredlow;6;0;0;0;0;0
VfB Stuttgart;Start;Jeltsch;2;0;0;0;0;0
VfB Stuttgart;Start;Chabot;8;0;0;0;0;0
VfB Stuttgart;Start;Mittelstädt;2;0;0;0;0;0
VfB Stuttgart;Start;Vagnoman;4;0;0;0;0;0
VfB Stuttgart;Start;Prömel;2;0;0;0;0;0
VfB Stuttgart;Start;Stiller;2;0;0;0;0;0
VfB Stuttgart;Start;Führich;2;0;0;0;0;0
VfB Stuttgart;Start;Undav;0;0;0;0;0;0
VfB Stuttgart;Start;El Khannouss;4;0;0;0;0;0
VfB Stuttgart;Start;Demirovic;0;0;0;0;0;0
VfB Stuttgart;Bank;Leweling;2;0;0;0;0;0
VfB Stuttgart;Bank;Pejcinovic;-2;0;0;0;0;0
VfB Stuttgart;Bank;Sauer;2;0;0;0;0;0
VfB Stuttgart;Bank;Nartey;2;0;0;0;0;0
VfB Stuttgart;Teampunkte;;36;;;;;
Borussia Dortmund;Start;Kobel;10;0;0;0;0;0
Borussia Dortmund;Start;Gadou;2;0;0;0;0;0
Borussia Dortmund;Start;Anton;13;0;0;0;0;1
Borussia Dortmund;Start;N. Schlotterbeck;8;0;0;0;0;0
Borussia Dortmund;Start;Ryerson;6;0;0;0;0;0
Borussia Dortmund;Start;J. Veerman;6;0;0;0;0;0
Borussia Dortmund;Start;F. Nmecha;10;0;0;0;0;0
Borussia Dortmund;Start;Svensson;6;0;0;0;0;0
Borussia Dortmund;Start;Nwaneri;0;0;0;0;0;0
Borussia Dortmund;Start;Beier;9;0;0;0;1;0
Borussia Dortmund;Start;Guirassy;2;0;0;0;0;0
Borussia Dortmund;Teampunkte;;72;;;;;
Bayer 04 Leverkusen;Start;Flekken;12;0;0;0;0;0
Bayer 04 Leverkusen;Start;Quansah;6;0;0;0;0;0
Bayer 04 Leverkusen;Start;Tapsoba;8;0;0;0;0;0
Bayer 04 Leverkusen;Start;Medina;10;0;0;0;0;0
Bayer 04 Leverkusen;Start;Miguel;22;0;0;1;1;1
Bayer 04 Leverkusen;Start;E. Fernandez;6;0;0;0;0;0
Bayer 04 Leverkusen;Start;Aleix Garcia;8;0;0;0;0;0
Bayer 04 Leverkusen;Start;Diaby;6;0;0;0;0;0
Bayer 04 Leverkusen;Start;Maza;6;0;0;0;0;0
Bayer 04 Leverkusen;Start;Moreira;2;0;0;0;0;0
Bayer 04 Leverkusen;Start;Schick;11;0;0;0;1;0
Bayer 04 Leverkusen;Bank;Andrich;2;0;0;0;0;0
Bayer 04 Leverkusen;Bank;Kofane;2;0;0;0;0;0
Bayer 04 Leverkusen;Bank;Vazquez;2;0;0;0;0;0
Bayer 04 Leverkusen;Teampunkte;;103;;;;;
RB Leipzig;Start;Vandevoordt;4;0;0;0;0;0
RB Leipzig;Start;R. Baku;2;0;0;0;0;0
RB Leipzig;Start;Orban;0;0;0;0;0;0
RB Leipzig;Start;Esteve;0;0;0;0;0;0
RB Leipzig;Start;Raum;4;0;0;0;0;0
RB Leipzig;Start;Banzuzi;2;0;0;0;0;0
RB Leipzig;Start;El Aynaoui;6;0;0;0;0;0
RB Leipzig;Start;Gruda;4;0;0;0;0;0
RB Leipzig;Start;Nkunku;2;0;0;0;0;0
RB Leipzig;Start;Nusa;6;0;0;0;0;0
RB Leipzig;Start;Romulo;2;0;0;0;0;0
RB Leipzig;Teampunkte;;32;;;;;
FC Schalke 04;Start;Karius;8;0;0;0;0;0
FC Schalke 04;Start;T. Becker;4;0;0;0;0;0
FC Schalke 04;Start;Katic;6;0;0;0;0;0
FC Schalke 04;Start;Kurucay;13;0;0;0;0;1
FC Schalke 04;Start;Dina Ebimbe;2;0;0;0;0;0
FC Schalke 04;Start;El-Faouzi;4;0;0;0;0;0
FC Schalke 04;Start;Tanaka;4;0;0;0;0;0
FC Schalke 04;Start;Gosens;4;0;0;0;0;0
FC Schalke 04;Start;Karaman;4;0;0;0;0;0
FC Schalke 04;Start;Aouchiche;4;0;0;0;0;0
FC Schalke 04;Start;Dzeko;2;0;0;0;0;0
FC Schalke 04;Bank;Sylla;0;0;0;0;0;0
FC Schalke 04;Bank;Wöber;0;0;0;0;0;0
FC Schalke 04;Bank;V. Becker;2;0;0;0;0;0
FC Schalke 04;Bank;H.-C. Hwang;2;0;0;0;0;0
FC Schalke 04;Bank;Schallenberg;2;0;0;0;0;0
FC Schalke 04;Teampunkte;;61;;;;;
SV Elversberg;Start;Kristof;8;0;0;0;0;0
SV Elversberg;Start;Gyamerah;2;0;0;0;0;0
SV Elversberg;Start;Pinckert;8;0;0;0;0;0
SV Elversberg;Start;Rohr;8;0;0;0;0;0
SV Elversberg;Start;La. Günther;4;0;0;0;0;0
SV Elversberg;Start;Keidel;6;0;0;0;0;0
SV Elversberg;Start;Poreba;4;0;0;0;0;0
SV Elversberg;Start;L. Petkov;2;0;0;0;0;0
SV Elversberg;Start;Darvich;0;0;0;0;0;0
SV Elversberg;Start;Campbell;4;0;0;0;0;0
SV Elversberg;Start;Mokwa;2;0;0;0;0;0
SV Elversberg;Teampunkte;;48;;;;;
SC Paderborn 07;Start;Noll;8;0;0;0;0;0
SC Paderborn 07;Start;ter Horst;6;0;0;0;0;0
SC Paderborn 07;Start;Scheller;8;0;0;0;0;0
SC Paderborn 07;Start;Hansen;4;0;0;0;0;0
SC Paderborn 07;Start;Curda;10;0;0;1;0;0
SC Paderborn 07;Start;Castaneda;12;0;0;0;1;0
SC Paderborn 07;Start;Obermair;4;0;0;0;0;0
SC Paderborn 07;Start;Ulrich;13;0;0;0;0;1
SC Paderborn 07;Start;Vidovic;2;0;0;0;0;0
SC Paderborn 07;Start;Pieringer;4;0;0;0;0;0
SC Paderborn 07;Start;Marino;11;0;0;0;1;0
SC Paderborn 07;Bank;S. Tigges;11;0;0;0;1;0
SC Paderborn 07;Bank;Sticker;8;0;0;1;0;0
SC Paderborn 07;Bank;Philippe;2;0;0;0;0;0
SC Paderborn 07;Bank;Baack;2;0;0;0;0;0
SC Paderborn 07;Bank;Götze;2;0;0;0;0;0
SC Paderborn 07;Teampunkte;;107;;;;;
TSG Hoffenheim;Start;Baumann;6;0;0;0;0;0
TSG Hoffenheim;Start;Coufal;2;0;0;0;0;0
TSG Hoffenheim;Start;Kabak;0;0;0;0;0;0
TSG Hoffenheim;Start;Machida;-2;0;0;0;0;0
TSG Hoffenheim;Start;M. Rots;-2;0;0;0;0;0
TSG Hoffenheim;Start;Avdullahu;-2;0;0;0;0;0
TSG Hoffenheim;Start;Burger;2;0;0;0;0;0
TSG Hoffenheim;Start;Conté;6;0;0;0;0;0
TSG Hoffenheim;Start;Daghim;11;0;0;0;1;0
TSG Hoffenheim;Start;Hlozek;2;0;0;0;0;0
TSG Hoffenheim;Start;Moerstedt;6;0;0;1;0;0
TSG Hoffenheim;Teampunkte;;29;;;;;
