Verein;Status;Spieler;Punkte;RoteKarte;GelbRoteKarte;Vorlagen;Tore;SpielerDesSpiels
RB Leipzig;Start;Raum;8;0;0;0;0;0
RB Leipzig;Start;Seiwald;6;0;0;0;0;0
RB Leipzig;Start;Reitz;13;0;0;0;1;0
RB Leipzig;Start;Banzuzi;6;0;0;0;0;0
RB Leipzig;Start;Gruda;8;0;0;0;0;0
RB Leipzig;Start;Gomis;10;0;0;0;0;0
RB Leipzig;Start;Nusa;18;0;0;0;1;1
RB Leipzig;Bank;Nkunku;6;0;0;0;0;0
RB Leipzig;Bank;Bakayoko;2;0;0;0;0;0
RB Leipzig;Bank;Henrichs;2;0;0;0;0;0
RB Leipzig;Bank;Vermeeren;2;0;0;0;0;0
RB Leipzig;Bank;Harder;2;0;0;0;0;0
RB Leipzig;Teampunkte;;116;;;;;
Borussia Mönchengladbach;Start;Nicolas;10;0;0;0;0;0
Borussia Mönchengladbach;Start;Hashioka;-2;0;0;0;0;0
Borussia Mönchengladbach;Start;Itakura;0;0;0;0;0;0
Borussia Mönchengladbach;Start;Diks;2;0;0;0;0;0
Borussia Mönchengladbach;Start;Ullrich;0;0;0;0;0;0
Borussia Mönchengladbach;Start;Stöger;-2;0;0;0;0;0
Borussia Mönchengladbach;Start;Sander;-2;0;0;0;0;0
Borussia Mönchengladbach;Start;Bolin;2;0;0;0;0;0
Borussia Mönchengladbach;Start;Mohya;2;0;0;0;0;0
Borussia Mönchengladbach;Start;Hack;-2;0;0;0;0;0
Borussia Mönchengladbach;Start;Kleindienst;0;0;0;0;0;0
Borussia Mönchengladbach;Teampunkte;;8;;;;;
1. FSV Mainz 05;Start;Zentner;6;0;0;0;0;0
1. FSV Mainz 05;Start;da Costa;8;0;0;0;0;0
1. FSV Mainz 05;Start;Gruber;6;0;0;0;0;0
1. FSV Mainz 05;Start;Kohr;4;0;0;0;0;0
1. FSV Mainz 05;Start;Caci;4;0;0;0;0;0
1. FSV Mainz 05;Start;Kai. Sano;6;0;0;0;0;0
1. FSV Mainz 05;Start;Mwene;4;0;0;0;0;0
1. FSV Mainz 05;Start;J.-S. Lee;2;0;0;0;0;0
1. FSV Mainz 05;Start;Amiri;4;0;0;0;0;0
1. FSV Mainz 05;Start;Becker;2;0;0;0;0;0
1. FSV Mainz 05;Start;P. Tietz;0;0;0;0;0;0
1. FSV Mainz 05;Bank;Ruoppi;2;0;0;0;0;0
1. FSV Mainz 05;Bank;Königsdörffer;2;0;0;0;0;0
1. FSV Mainz 05;Bank;Widmer;2;0;0;0;0;0
1. FSV Mainz 05;Bank;Potulski;2;0;0;0;0;0
1. FSV Mainz 05;Teampunkte;;54;;;;;
SC Paderborn 07;Start;Noll;13;0;0;0;0;1
SC Paderborn 07;Start;ter Horst;4;0;0;0;0;0
SC Paderborn 07;Start;Scheller;4;0;0;0;0;0
SC Paderborn 07;Start;Hansen;6;0;0;0;0;0
SC Paderborn 07;Start;Curda;8;0;0;0;0;0
SC Paderborn 07;Start;Castaneda;6;0;0;0;0;0
SC Paderborn 07;Start;Obermair;2;0;0;0;0;0
SC Paderborn 07;Start;Ulrich;0;0;0;0;0;0
SC Paderborn 07;Start;Vidovic;2;0;0;0;0;0
SC Paderborn 07;Start;Pieringer;4;0;0;0;0;0
SC Paderborn 07;Start;Marino;0;0;0;0;0;0
SC Paderborn 07;Teampunkte;;49;;;;;
1. FC Union Berlin;Start;Raab;4;0;0;0;0;0
1. FC Union Berlin;Start;Juranovic;8;0;0;0;0;0
1. FC Union Berlin;Start;Querfeld;7;0;0;0;1;0
1. FC Union Berlin;Start;van den Bosch;4;0;0;0;0;0
1. FC Union Berlin;Start;Rothe;4;0;0;0;0;0
1. FC Union Berlin;Start;Kemlein;2;0;0;0;0;0
1. FC Union Berlin;Start;R. Khedira;4;0;0;0;0;0
1. FC Union Berlin;Start;Aebischer;2;0;0;0;0;0
1. FC Union Berlin;Start;Schäfer;0;0;0;0;0;0
1. FC Union Berlin;Start;Ljubicic;0;0;0;0;0;0
1. FC Union Berlin;Start;Latte Lath;11;0;0;0;1;0
1. FC Union Berlin;Bank;Jeong;2;0;0;0;0;0
1. FC Union Berlin;Bank;Skarke;11;0;0;0;1;0
1. FC Union Berlin;Bank;Burcu;0;0;0;0;0;0
1. FC Union Berlin;Bank;Haberer;2;0;0;0;0;0
1. FC Union Berlin;Bank;Köhn;2;0;0;0;0;0
1. FC Union Berlin;Teampunkte;;63;;;;;
Eintracht Frankfurt;Start;Atubolu;10;0;0;0;0;0
Eintracht Frankfurt;Start;Baum;4;0;0;0;0;0
Eintracht Frankfurt;Start;R. Koch;4;0;0;0;0;0
Eintracht Frankfurt;Start;Maluze;4;0;0;0;0;0
Eintracht Frankfurt;Start;Kosugi;2;0;0;0;0;0
Eintracht Frankfurt;Start;Onyedika;0;0;0;0;0;0
Eintracht Frankfurt;Start;Chaibi;2;0;0;0;0;0
Eintracht Frankfurt;Start;Amaimouni-Echghouyab;4;0;0;0;0;0
Eintracht Frankfurt;Start;Uzun;4;0;0;0;0;0
Eintracht Frankfurt;Start;Ebnoutalib;26;0;0;0;3;1
Eintracht Frankfurt;Start;Burkardt;2;0;0;0;0;0
Eintracht Frankfurt;Teampunkte;;62;;;;;
1. FC Köln;Start;Schwäbe;10;0;0;0;0;0
1. FC Köln;Start;Castro-Montes;6;0;0;0;0;0
1. FC Köln;Start;Simpson-Pusey;0;0;0;0;0;0
1. FC Köln;Start;Lochoshvili;8;0;0;0;0;0
1. FC Köln;Start;Mensah;8;0;0;0;0;0
1. FC Köln;Start;Krauß;4;0;0;0;0;0
1. FC Köln;Start;Okon-Engstler;2;0;0;0;0;0
1. FC Köln;Start;Johannesson;8;0;0;0;0;0
1. FC Köln;Start;Thielmann;2;0;0;0;0;0
1. FC Köln;Start;S. El Mala;9;0;0;0;1;0
1. FC Köln;Start;Ache;2;0;0;0;0;0
1. FC Köln;Bank;Maina;6;0;0;0;0;0
1. FC Köln;Bank;Skhiri;0;0;0;0;0;0
1. FC Köln;Bank;Dallinga;21;0;0;0;2;1
1. FC Köln;Bank;Bülter;2;0;0;0;0;0
1. FC Köln;Bank;Schmied;2;0;0;0;0;0
1. FC Köln;Teampunkte;;90;;;;;
TSG Hoffenheim;Start;Baumann;10;0;0;0;0;0
TSG Hoffenheim;Start;Coufal;6;0;0;0;0;0
TSG Hoffenheim;Start;Kabak;11;0;0;0;1;0
TSG Hoffenheim;Start;Hajdari;2;0;0;0;0;0
TSG Hoffenheim;Start;Bernardo;2;0;0;0;0;0
TSG Hoffenheim;Start;Avdullahu;-2;0;0;0;0;0
TSG Hoffenheim;Start;Burger;4;0;0;0;0;0
TSG Hoffenheim;Start;Wimmer;6;0;0;0;0;0
TSG Hoffenheim;Start;Daghim;11;0;0;0;1;0
TSG Hoffenheim;Start;Conté;10;0;0;0;0;0
TSG Hoffenheim;Start;Hlozek;2;0;0;0;0;0
TSG Hoffenheim;Teampunkte;;62;;;;;
Borussia Dortmund;Start;Kobel;8;0;0;0;0;0
Borussia Dortmund;Start;Gadou;4;0;0;0;0;0
Borussia Dortmund;Start;Anton;4;0;0;0;0;0
Borussia Dortmund;Start;Svensson;8;0;0;0;0;0
Borussia Dortmund;Start;Ryerson;4;0;0;0;0;0
Borussia Dortmund;Start;Bellingham;10;0;0;0;0;0
Borussia Dortmund;Start;F. Nmecha;4;0;0;0;0;0
Borussia Dortmund;Start;Beier;6;0;0;0;0;0
Borussia Dortmund;Start;Karetsas;15;0;0;0;0;1
Borussia Dortmund;Start;Konstantelias;13;0;0;0;1;0
Borussia Dortmund;Start;Guirassy;11;0;0;0;1;0
Borussia Dortmund;Bank;Sabitzer;4;0;0;0;0;0
Borussia Dortmund;Bank;Mane;2;0;0;0;0;0
Borussia Dortmund;Bank;J. Veerman;2;0;0;0;0;0
Borussia Dortmund;Bank;Inacio;-4;1;0;0;0;0
Borussia Dortmund;Bank;Kaua Prates;2;0;0;0;0;0
Borussia Dortmund;Teampunkte;;93;;;;;
Hamburger SV;Start;Heuer Fernandes;10;0;0;0;0;0
Hamburger SV;Start;Capaldo;-2;0;0;0;0;0
Hamburger SV;Start;Bornauw;2;0;0;0;0;0
Hamburger SV;Start;Torunarigha;0;0;0;0;0;0
Hamburger SV;Start;Jatta;0;0;0;0;0;0
Hamburger SV;Start;Sambi Lokonga;-2;0;0;0;0;0
Hamburger SV;Start;Remberg;-2;0;0;0;0;0
Hamburger SV;Start;Lemke;4;0;0;0;0;0
Hamburger SV;Start;Adeline;-2;0;0;0;0;0
Hamburger SV;Start;Grönbaek;4;0;0;0;0;0
Hamburger SV;Start;Daka;-2;0;0;0;0;0
Hamburger SV;Teampunkte;;10;;;;;
SC Freiburg;Start;Backhaus;2;0;0;0;0;0
SC Freiburg;Start;Kübler;8;0;0;0;0;0
SC Freiburg;Start;Ginter;6;0;0;0;0;0
SC Freiburg;Start;Lienhart;6;0;0;0;0;0
SC Freiburg;Start;Makengo;4;0;0;0;0;0
SC Freiburg;Start;M. Eggestein;8;0;0;0;0;0
SC Freiburg;Start;Engelhardt;6;0;0;0;0;0
SC Freiburg;Start;Beste;8;0;0;0;0;0
SC Freiburg;Start;Y. Suzuki;23;0;0;0;3;0
SC Freiburg;Start;Scherhant;8;0;0;0;0;0
SC Freiburg;Start;Matanovic;15;0;0;0;1;0
SC Freiburg;Bank;Irié;0;0;0;0;0;0
SC Freiburg;Bank;Rosenfelder;2;0;0;0;0;0
SC Freiburg;Bank;Treu;2;0;0;0;0;0
SC Freiburg;Bank;Höler;2;0;0;0;0;0
SC Freiburg;Bank;Goto;2;0;0;0;0;0
SC Freiburg;Teampunkte;;102;;;;;
SV Werder Bremen;Start;Hein;2;0;0;0;0;0
SV Werder Bremen;Start;Schmetgens;2;0;0;0;0;0
SV Werder Bremen;Start;Pieper;-2;0;0;0;0;0
SV Werder Bremen;Start;Friedl;-2;0;0;0;0;0
SV Werder Bremen;Start;Deman;2;0;0;0;0;0
SV Werder Bremen;Start;Lynen;2;0;0;0;0;0
SV Werder Bremen;Start;Chuki;0;0;0;0;0;0
SV Werder Bremen;Start;Reis;0;0;0;0;0;0
SV Werder Bremen;Start;Njinmah;-2;0;0;0;0;0
SV Werder Bremen;Start;Grüll;0;0;0;0;0;0
SV Werder Bremen;Start;Füllkrug;-2;0;0;0;0;0
SV Werder Bremen;Teampunkte;;0;;;;;
FC Augsburg;Start;Dahmen;8;0;0;0;0;0
FC Augsburg;Start;Banks;8;0;0;0;0;0
FC Augsburg;Start;Matsima;8;0;0;0;0;0
FC Augsburg;Start;Brackelmann;4;0;0;0;0;0
FC Augsburg;Start;M. Wolf;6;0;0;0;0;0
FC Augsburg;Start;Massengo;6;0;0;0;0;0
FC Augsburg;Start;Rieder;10;0;0;0;0;0
FC Augsburg;Start;Behrens;6;0;0;0;0;0
FC Augsburg;Start;Kade;18;0;0;0;1;1
FC Augsburg;Start;Fellhauer;4;0;0;0;0;0
FC Augsburg;Start;Gregoritsch;11;0;0;0;1;0
FC Augsburg;Bank;Kömür;2;0;0;0;0;0
FC Augsburg;Bank;Ribeiro;5;0;0;0;1;0
FC Augsburg;Bank;Keitel;2;0;0;0;0;0
FC Augsburg;Bank;Gouweleeuw;2;0;0;0;0;0
FC Augsburg;Bank;Seol;2;0;0;0;0;0
FC Augsburg;Teampunkte;;102;;;;;
FC Schalke 04;Start;Karius;6;0;0;0;0;0
FC Schalke 04;Start;T. Becker;2;0;0;0;0;0
FC Schalke 04;Start;Katic;2;0;0;0;0;0
FC Schalke 04;Start;Kurucay;6;0;0;0;0;0
FC Schalke 04;Start;Ljubicic;2;0;0;0;0;0
FC Schalke 04;Start;El-Faouzi;2;0;0;0;0;0
FC Schalke 04;Start;Schallenberg;-8;1;0;0;0;0
FC Schalke 04;Start;V. Becker;2;0;0;0;0;0
FC Schalke 04;Start;Adamu;0;0;0;0;0;0
FC Schalke 04;Start;Aouchiche;2;0;0;0;0;0
FC Schalke 04;Start;Sylla;0;0;0;0;0;0
FC Schalke 04;Teampunkte;;16;;;;;
