ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00067514;Kevin;Stöger;Stöger;Kevin Stöger;Bor. Mönchengladbach;MIDFIELDER;1700000;65;3.94
pl-k00068029;Jonas;Hofmann;Hofmann;Jonas Hofmann;Bayer 04 Leverkusen;MIDFIELDER;1600000;72;3.68
pl-k00068475;Tim;Boss;Boss;Tim Boss;SV Elversberg;GOALKEEPER;800000;0;0.0
pl-k00068674;Daniel;Heuer Fernandes;Heuer Fernandes;Daniel Heuer Fernandes;Hamburger SV;GOALKEEPER;3200000;253;2.79
pl-k00069255;Willi;Orban;Orban;Willi Orban;RB Leipzig;DEFENDER;3000000;182;3.24
pl-k00070374;Marvin;Schwäbe;Schwäbe;Marvin Schwäbe;1. FC Köln;GOALKEEPER;3000000;224;2.99
pl-k00070592;Jonathan;Tah;Tah;Jonathan Tah;Bayern München;DEFENDER;4300000;180;2.83
pl-k00070598;Luca;Waldschmidt;Waldschmidt;Luca Waldschmidt;1. FC Köln;FORWARD;1600000;71;3.94
pl-k00070605;Harry;Kane;Kane;Harry Kane;Bayern München;FORWARD;10000000;407;2.32
pl-k00070987;Carl;Klaus;Klaus;Carl Klaus;1. FC Union Berlin;GOALKEEPER;500000;35;2.5
pl-k00070990;Matthias;Ginter;Ginter;Matthias Ginter;SC Freiburg;DEFENDER;4200000;239;2.94
pl-k00070997;Robert;Andrich;Andrich;Robert Andrich;Bayer 04 Leverkusen;MIDFIELDER;2200000;86;3.88
pl-k00071019;Amara;Condé;Condé;Amara Condé;SV Elversberg;MIDFIELDER;1700000;0;0.0
pl-k00071021;Benjamin;Henrichs;Henrichs;Benjamin Henrichs;RB Leipzig;DEFENDER;1600000;31;4.38
pl-k00071150;Joshua;Kimmich;Kimmich;Joshua Kimmich;Bayern München;MIDFIELDER;5500000;230;2.71
pl-k00071151;Niklas;Stark;Stark;Niklas Stark;Werder Bremen;DEFENDER;1800000;26;3.82
pl-k00071294;Dominik;Kohr;Kohr;Dominik Kohr;1. FSV Mainz 05;DEFENDER;1800000;87;3.75
pl-k00071610;Janik;Haberer;Haberer;Janik Haberer;1. FC Union Berlin;MIDFIELDER;1600000;62;3.93
pl-k00071901;Jan;Gyamerah;Gyamerah;Jan Gyamerah;SV Elversberg;DEFENDER;1400000;0;0.0
pl-k00072475;Kenan;Karaman;Karaman;Kenan Karaman;FC Schalke 04;MIDFIELDER;2300000;0;0.0
pl-k00072478;Mark;Flekken;Flekken;Mark Flekken;Bayer 04 Leverkusen;GOALKEEPER;2800000;130;3.25
pl-k00072566;Sven;Michel;S. Michel;Sven Michel;SC Paderborn 07;FORWARD;1000000;0;0.0
pl-k00072607;Niklas;Lomb;Lomb;Niklas Lomb;Bayer 04 Leverkusen;GOALKEEPER;500000;0;0.0
pl-k00072675;Matthias;Köbbing;Köbbing;Matthias Köbbing;1. FC Köln;GOALKEEPER;500000;0;0.0
pl-k00072684;Leopold;Zingerle;Zingerle;Leopold Zingerle;RB Leipzig;GOALKEEPER;500000;0;0.0
pl-k00072706;Christian;Günter;Günter;Christian Günter;SC Freiburg;DEFENDER;1800000;76;3.68
pl-k00072759;Vincenzo;Grifo;Grifo;Vincenzo Grifo;SC Freiburg;MIDFIELDER;3000000;148;3.54
pl-k00073206;Marcel;Sabitzer;Sabitzer;Marcel Sabitzer;Borussia Dortmund;MIDFIELDER;2500000;121;3.33
pl-k00075006;Jeffrey;Gouweleeuw;Gouweleeuw;Jeffrey Gouweleeuw;FC Augsburg;DEFENDER;2000000;36;3.68
pl-k00075196;Jordan;Torunarigha;Torunarigha;Jordan Torunarigha;Hamburger SV;DEFENDER;1700000;65;3.79
pl-k00075198;Finn;Porath;Porath;Finn Porath;FC Schalke 04;MIDFIELDER;1000000;0;0.0
pl-k00075379;Silvan;Widmer;Widmer;Silvan Widmer;1. FSV Mainz 05;DEFENDER;1600000;84;3.77
pl-k00075608;Finn;Dahmen;Dahmen;Finn Dahmen;FC Augsburg;GOALKEEPER;2600000;185;3.24
pl-k00075625;Dennis;Geiger;Geiger;Dennis Geiger;TSG Hoffenheim;MIDFIELDER;1000000;0;0.0
pl-k00075651;Frederik;Rönnow;Rönnow;Frederik Rönnow;1. FC Union Berlin;GOALKEEPER;2600000;173;3.17
pl-k00076053;Michael;Zetterer;Zetterer;Michael Zetterer;Eintracht Frankfurt;GOALKEEPER;1500000;102;3.43
pl-k00076421;Phillipp;Mwene;Mwene;Phillipp Mwene;1. FSV Mainz 05;DEFENDER;2000000;107;3.67
pl-k00076446;Yussuf;Poulsen;Poulsen;Yussuf Poulsen;Hamburger SV;FORWARD;1600000;27;3.9
pl-k00076575;Lukas;Klostermann;Klostermann;Lukas Klostermann;RB Leipzig;DEFENDER;1500000;14;3.0
pl-k00076796;Robin;Fellhauer;Fellhauer;Robin Fellhauer;FC Augsburg;MIDFIELDER;1800000;105;3.84
pl-k00076954;Tim;Kleindienst;Kleindienst;Tim Kleindienst;Bor. Mönchengladbach;FORWARD;3000000;6;0.0
pl-k00077333;Marvin;Friedrich;M. Friedrich;Marvin Friedrich;1. FC Union Berlin;DEFENDER;1600000;8;4.25
pl-k00077358;Örjan;Nyland;Nyland;Örjan Nyland;RB Leipzig;GOALKEEPER;1000000;0;0.0
pl-k00077452;Luca;Schnellbacher;Schnellbacher;Luca Schnellbacher;SV Elversberg;FORWARD;1200000;0;0.0
pl-k00078917;Jannik;Huth;Huth;Jannik Huth;SC Freiburg;GOALKEEPER;500000;0;0.0
pl-k00079176;Atakan;Karazor;Karazor;Atakan Karazor;VfB Stuttgart;MIDFIELDER;2200000;90;3.57
pl-k00079188;Timo;Becker;T. Becker;Timo Becker;FC Schalke 04;DEFENDER;1700000;0;0.0
pl-k00079199;Moritz;Nicolas;Nicolas;Moritz Nicolas;Bor. Mönchengladbach;GOALKEEPER;3000000;246;2.97
pl-k00079503;Maximilian;Eggestein;M. Eggestein;Maximilian Eggestein;SC Freiburg;MIDFIELDER;2500000;143;3.59
pl-k00079577;Marius;Wolf;M. Wolf;Marius Wolf;FC Augsburg;DEFENDER;1500000;65;3.93
pl-k00079813;Maximilian;Mittelstädt;Mittelstädt;Maximilian Mittelstädt;VfB Stuttgart;DEFENDER;3500000;200;3.05
pl-k00079935;Lucas;Höler;Höler;Lucas Höler;SC Freiburg;FORWARD;1800000;86;3.98
pl-k00080083;Nadiem;Amiri;Amiri;Nadiem Amiri;1. FSV Mainz 05;MIDFIELDER;4200000;190;3.25
pl-k00080088;Grischa;Prömel;Prömel;Grischa Prömel;VfB Stuttgart;MIDFIELDER;3400000;182;3.04
pl-k00080172;Timo;Hübers;Hübers;Timo Hübers;1. FC Köln;DEFENDER;1200000;38;3.31
pl-k00080174;Waldemar;Anton;Anton;Waldemar Anton;Borussia Dortmund;DEFENDER;3800000;207;2.98
pl-k00080351;Chris;Führich;Führich;Chris Führich;VfB Stuttgart;MIDFIELDER;3800000;203;3.02
pl-k00080357;Felix;Götze;Götze;Felix Götze;SC Paderborn 07;DEFENDER;1400000;0;0.0
pl-k00080364;Amos;Pieper;Pieper;Amos Pieper;Werder Bremen;DEFENDER;1800000;102;3.22
pl-k00080766;Florian;Müller;F. Müller;Florian Müller;SC Freiburg;GOALKEEPER;800000;0;0.0
pl-k00081053;Vladimir;Coufal;Coufal;Vladimir Coufal;TSG Hoffenheim;DEFENDER;3200000;238;2.99
pl-k00081638;Marco;Richter;Richter;Marco Richter;1. FSV Mainz 05;MIDFIELDER;1200000;0;0.0
pl-k00081912;Felix;Uduokhai;Uduokhai;Felix Uduokhai;1. FC Union Berlin;DEFENDER;1800000;0;0.0
pl-k00081913;Florian;Neuhaus;Neuhaus;Florian Neuhaus;Bor. Mönchengladbach;MIDFIELDER;1400000;48;3.69
pl-k00082119;Fabian;Bredlow;Bredlow;Fabian Bredlow;VfB Stuttgart;GOALKEEPER;800000;0;0.0
pl-k00082727;Robin;Hack;Hack;Robin Hack;Bor. Mönchengladbach;MIDFIELDER;2200000;20;3.88
pl-k00083017;Lucas;Vazquez;Vazquez;Lucas Vazquez;Bayer 04 Leverkusen;DEFENDER;2000000;45;3.5
pl-k00083988;Marius;Bülter;Bülter;Marius Bülter;1. FC Köln;FORWARD;1700000;91;3.98
pl-k00084550;Robin;Koch;R. Koch;Robin Koch;Eintracht Frankfurt;DEFENDER;2500000;106;3.8
pl-k00084575;Janik;Bachmann;Bachmann;Janik Bachmann;FC Schalke 04;MIDFIELDER;800000;0;0.0
pl-k00084861;Markus;Schubert;Schubert;Markus Schubert;SC Paderborn 07;GOALKEEPER;800000;0;0.0
pl-k00084940;Philipp;Lienhart;Lienhart;Philipp Lienhart;SC Freiburg;DEFENDER;2500000;86;3.29
pl-k00084943;Konrad;Laimer;Laimer;Konrad Laimer;Bayern München;DEFENDER;4000000;210;2.86
pl-k00085071;Alexander;Schlager;A. Schlager;Alexander Schlager;Werder Bremen;GOALKEEPER;1500000;0;0.0
pl-k00085382;Jeff;Chabot;Chabot;Jeff Chabot;VfB Stuttgart;DEFENDER;3600000;183;2.79
pl-k00085582;Dawid;Kownacki;Kownacki;Dawid Kownacki;Werder Bremen;FORWARD;1500000;0;0.0
pl-k00085717;Tom;Baack;Baack;Tom Baack;SC Paderborn 07;MIDFIELDER;1200000;0;0.0
pl-k00085778;Patrik;Schick;Schick;Patrik Schick;Bayer 04 Leverkusen;FORWARD;4500000;174;3.38
pl-k00086106;Phillip;Tietz;P. Tietz;Phillip Tietz;1. FSV Mainz 05;FORWARD;2000000;117;3.66
pl-k00086138;Niklas;Beste;Beste;Niklas Beste;SC Freiburg;MIDFIELDER;2400000;123;3.41
pl-k00086142;Linton;Maina;Maina;Linton Maina;1. FC Köln;MIDFIELDER;1500000;58;3.83
pl-k00087260;Sheraldo;Becker;Becker;Sheraldo Becker;1. FSV Mainz 05;FORWARD;2600000;82;3.25
pl-k00087292;Kevin;Diks;Diks;Kevin Diks;Bor. Mönchengladbach;DEFENDER;2400000;157;3.41
pl-k00087441;Steve;Mounié;Mounié;Steve Mounié;FC Augsburg;FORWARD;800000;0;0.0
pl-k00087673;Gregor;Kobel;Kobel;Gregor Kobel;Borussia Dortmund;GOALKEEPER;3600000;254;2.85
pl-k00087705;Ermedin;Demirovic;Demirovic;Ermedin Demirovic;VfB Stuttgart;FORWARD;4000000;151;3.34
pl-k00087750;David;Raum;Raum;David Raum;RB Leipzig;DEFENDER;3500000;208;3.02
pl-k00087823;Jae-Sung;Lee;J.-S. Lee;Jae-Sung Lee;1. FSV Mainz 05;MIDFIELDER;2300000;109;3.71
pl-k00087885;Deniz;Undav;Undav;Deniz Undav;VfB Stuttgart;FORWARD;6000000;255;2.89
pl-k00088061;Tim;Skarke;Skarke;Tim Skarke;1. FC Union Berlin;MIDFIELDER;1200000;34;4.1
pl-k00088151;Dayot;Upamecano;Upamecano;Dayot Upamecano;Bayern München;DEFENDER;3800000;145;2.95
pl-k00088182;Yannik;Keitel;Keitel;Yannik Keitel;FC Augsburg;MIDFIELDER;1200000;12;3.7
pl-k00088192;Jonathan;Burkardt;Burkardt;Jonathan Burkardt;Eintracht Frankfurt;FORWARD;4000000;141;3.39
pl-k00088240;Aleix;Garcia;Aleix Garcia;Aleix Garcia;Bayer 04 Leverkusen;MIDFIELDER;4000000;223;3.06
pl-k00089442;Serhou;Guirassy;Guirassy;Serhou Guirassy;Borussia Dortmund;FORWARD;5000000;186;3.5
pl-k00089587;Florian;Le Joncour;Le Joncour;Florian Le Joncour;SV Elversberg;DEFENDER;1200000;0;0.0
pl-k00089649;Ramy;Bensebaini;Bensebaini;Ramy Bensebaini;Borussia Dortmund;DEFENDER;3000000;154;2.84
pl-k00089655;Ellyes;Skhiri;Skhiri;Ellyes Skhiri;1. FC Köln;MIDFIELDER;1600000;19;4.33
pl-k00089892;Ridle;Baku;R. Baku;Ridle Baku;RB Leipzig;DEFENDER;2600000;136;3.5
pl-k00090042;Marco;Friedl;Friedl;Marco Friedl;Werder Bremen;DEFENDER;2600000;126;3.45
pl-k00090149;Florent;Muslija;Muslija;Florent Muslija;SC Freiburg;MIDFIELDER;1000000;0;0.0
pl-k00090213;Stefan;Posch;Posch;Stefan Posch;1. FSV Mainz 05;DEFENDER;2200000;74;3.34
pl-k00090273;Robin;Gosens;Gosens;Robin Gosens;FC Schalke 04;DEFENDER;2200000;0;0.0
pl-k00090371;Philipp;Sander;Sander;Philipp Sander;Bor. Mönchengladbach;MIDFIELDER;1800000;112;3.67
pl-k00091126;Franck;Honorat;Honorat;Franck Honorat;Bor. Mönchengladbach;MIDFIELDER;2400000;89;3.87
pl-k00091372;Josip;Juranovic;Juranovic;Josip Juranovic;1. FC Union Berlin;DEFENDER;1500000;41;3.2
pl-k00091406;Maximilian;Wöber;Wöber;Maximilian Wöber;FC Schalke 04;DEFENDER;1600000;6;3.0
pl-k00091524;Christopher;Nkunku;Nkunku;Christopher Nkunku;RB Leipzig;FORWARD;4700000;0;0.0
pl-k00091527;Steffen;Tigges;S. Tigges;Steffen Tigges;SC Paderborn 07;FORWARD;1400000;0;0.0
pl-k00092317;Timur;Gayret;Gayret;Timur Gayret;SC Paderborn 07;MIDFIELDER;1200000;0;0.0
pl-k00092331;Bernardo;Fernandes da Silva Junior;Bernardo;Bernardo;TSG Hoffenheim;DEFENDER;1800000;106;3.54
pl-k00092690;Cedric;Itten;Itten;Cedric Itten;Werder Bremen;FORWARD;2000000;0;0.0
pl-k00093478;Oliver;Burke;Burke;Oliver Burke;1. FC Union Berlin;FORWARD;1600000;79;4.02
pl-k00093857;Tom;Krauß;Krauß;Tom Krauß;1. FC Köln;MIDFIELDER;1800000;93;3.54
pl-k00093863;Oliver;Batista Meier;Batista Meier;Oliver Batista Meier;SC Paderborn 07;FORWARD;1400000;0;0.0
pl-k00094605;Bakery;Jatta;Jatta;Bakery Jatta;Hamburger SV;MIDFIELDER;1400000;36;3.96
pl-k00094630;Raphael;Obermair;Obermair;Raphael Obermair;SC Paderborn 07;MIDFIELDER;1800000;0;0.0
pl-k00094785;Luca;Pfeiffer;L. Pfeiffer;Luca Pfeiffer;SV Elversberg;FORWARD;800000;0;0.0
pl-k00094875;Matheo;Raab;Raab;Matheo Raab;1. FC Union Berlin;GOALKEEPER;800000;10;2.5
pl-k00095063;Kristijan;Jakic;Jakic;Kristijan Jakic;FC Augsburg;MIDFIELDER;1400000;66;3.85
pl-k00095159;Sebastian;Klaas;Klaas;Sebastian Klaas;SC Paderborn 07;MIDFIELDER;1400000;0;0.0
pl-k00095202;Stefan;Drljaca;Drljaca;Stefan Drljaca;VfB Stuttgart;GOALKEEPER;500000;0;0.0
pl-k00095487;Robert;Skov;Skov;Robert Skov;1. FC Union Berlin;MIDFIELDER;1200000;-2;4.67
pl-k00095745;Derrick;Köhn;Köhn;Derrick Köhn;1. FC Union Berlin;DEFENDER;1900000;106;3.5
pl-k00096032;Felix;Agu;Agu;Felix Agu;Werder Bremen;DEFENDER;1500000;10;4.23
pl-k00096140;Nico;Schlotterbeck;N. Schlotterbeck;Nico Schlotterbeck;Borussia Dortmund;DEFENDER;3500000;217;2.88
pl-k00096434;Jason;Ceka;Ceka;Jason Ceka;SV Elversberg;MIDFIELDER;1000000;0;0.0
pl-k00096661;Jean-Luc;Dompé;Dompé;Jean-Luc Dompé;Hamburger SV;MIDFIELDER;1600000;58;3.82
pl-k00096948;Enzo;Leopold;Leopold;Enzo Leopold;Bor. Mönchengladbach;MIDFIELDER;1800000;0;0.0
pl-k00096990;Emmanuel;Latte Lath;Latte Lath;Emmanuel Latte Lath;1. FC Union Berlin;FORWARD;1500000;0;0.0
pl-k00097322;Michel;Aebischer;Aebischer;Michel Aebischer;1. FC Union Berlin;MIDFIELDER;1800000;0;0.0
pl-k00097452;Alexis;Claude-Maurice;Claude-Maurice;Alexis Claude-Maurice;FC Augsburg;MIDFIELDER;2800000;171;3.35
pl-k00097797;Martin;Terrier;Terrier;Martin Terrier;Bayer 04 Leverkusen;FORWARD;1800000;60;3.58
pl-k00097884;Calvin;Brackelmann;Brackelmann;Calvin Brackelmann;FC Augsburg;DEFENDER;1600000;0;0.0
pl-k00097892;Jan;Olschowsky;Olschowsky;Jan Olschowsky;Bor. Mönchengladbach;GOALKEEPER;500000;0;0.0
pl-k00097916;Ransford;Königsdörffer;Königsdörffer;Ransford Königsdörffer;1. FSV Mainz 05;FORWARD;1800000;26;4.42
pl-k00098050;Koki;Machida;Machida;Koki Machida;TSG Hoffenheim;DEFENDER;1500000;-2;5.0
pl-k00098720;Ron;Schallenberg;Schallenberg;Ron Schallenberg;FC Schalke 04;MIDFIELDER;1600000;0;0.0
pl-k00098905;Miro;Muheim;Muheim;Miro Muheim;Hamburger SV;DEFENDER;1700000;64;3.93
pl-k00099583;Alphonso;Davies;Davies;Alphonso Davies;Bayern München;DEFENDER;3000000;37;3.88
pl-k00099747;Ragnar;Ache;Ache;Ragnar Ache;1. FC Köln;FORWARD;3000000;157;3.22
pl-k00099897;Lennard;Maloney;Maloney;Lennard Maloney;1. FSV Mainz 05;MIDFIELDER;1200000;34;4.17
pl-k00099914;Josha;Vagnoman;Vagnoman;Josha Vagnoman;VfB Stuttgart;DEFENDER;1800000;95;3.61
pl-k00099945;Patson;Daka;Daka;Patson Daka;Hamburger SV;FORWARD;1800000;0;0.0
pl-k00099946;Nikolas;Nartey;Nartey;Nikolas Nartey;VfB Stuttgart;MIDFIELDER;2200000;138;3.03
pl-k00100088;Jessic;Ngankam;Ngankam;Jessic Ngankam;Eintracht Frankfurt;FORWARD;1000000;0;5.0
pl-k00100299;Dan-Axel;Zagadou;Zagadou;Dan-Axel Zagadou;VfB Stuttgart;DEFENDER;1400000;14;3.5
pl-k00100305;Anthony;Caci;Caci;Anthony Caci;1. FSV Mainz 05;DEFENDER;2200000;28;3.67
pl-k00100591;Paul;Nebel;Nebel;Paul Nebel;1. FSV Mainz 05;MIDFIELDER;3000000;118;3.58
pl-k00100606;Jan;Thielmann;Thielmann;Jan Thielmann;1. FC Köln;MIDFIELDER;1600000;86;3.76
pl-k00100804;Ozan;Kabak;Kabak;Ozan Kabak;TSG Hoffenheim;DEFENDER;2300000;131;3.23
pl-k00101109;Nikola;Katic;Katic;Nikola Katic;FC Schalke 04;DEFENDER;1800000;0;0.0
pl-k00101451;Benedict;Hollerbach;Hollerbach;Benedict Hollerbach;1. FSV Mainz 05;FORWARD;1800000;39;4.05
pl-k00101606;Isac;Lidberg;Lidberg;Isac Lidberg;Bor. Mönchengladbach;FORWARD;2200000;0;0.0
pl-k00101708;Luka;Lochoshvili;Lochoshvili;Luka Lochoshvili;1. FC Köln;DEFENDER;2000000;0;0.0
pl-k00101721;Woo-Yeong;Jeong;Jeong;Woo-Yeong Jeong;1. FC Union Berlin;MIDFIELDER;1500000;50;4.16
pl-k00101728;Dejan;Ljubicic;Ljubicic;Dejan Ljubicic;FC Schalke 04;MIDFIELDER;1900000;0;0.0
pl-k00101815;Tom;Zimmerschied;Zimmerschied;Tom Zimmerschied;SV Elversberg;MIDFIELDER;1800000;0;0.0
pl-k00102058;Moussa;Sylla;Sylla;Moussa Sylla;FC Schalke 04;FORWARD;1800000;0;0.0
pl-k00102692;Nick;Bätzner;Bätzner;Nick Bätzner;SC Paderborn 07;MIDFIELDER;1000000;0;0.0
pl-k00102731;Josip;Stanisic;Stanisic;Josip Stanisic;Bayern München;DEFENDER;3500000;168;2.96
pl-k00102795;Luca;Philipp;L. Philipp;Luca Philipp;TSG Hoffenheim;GOALKEEPER;800000;0;0.0
pl-k00102800;Christoph;Baumgartner;Baumgartner;Christoph Baumgartner;RB Leipzig;MIDFIELDER;4200000;256;3.17
pl-k00102817;Ritsu;Doan;Doan;Ritsu Doan;Eintracht Frankfurt;MIDFIELDER;3300000;113;3.87
pl-k00103012;Lukas;Petkov;L. Petkov;Lukas Petkov;SV Elversberg;MIDFIELDER;2000000;0;0.0
pl-k00103048;Lukas;Pinckert;Pinckert;Lukas Pinckert;SV Elversberg;DEFENDER;1600000;0;0.0
pl-k00103305;Philipp;Treu;Treu;Philipp Treu;SC Freiburg;DEFENDER;2200000;105;3.58
pl-k00103374;Patrick;Osterhage;Osterhage;Patrick Osterhage;SC Freiburg;MIDFIELDER;1600000;44;3.93
pl-k00103475;Ludovit;Reis;Reis;Ludovit Reis;Werder Bremen;MIDFIELDER;1800000;0;0.0
pl-k00103853;Min-Jae;Kim;M.-J. Kim;Min-Jae Kim;Bayern München;DEFENDER;2800000;136;3.0
pl-k00104033;Gideon;Mensah;Mensah;Gideon Mensah;1. FC Köln;DEFENDER;2000000;0;0.0
pl-k00104317;Angelo;Stiller;Stiller;Angelo Stiller;VfB Stuttgart;MIDFIELDER;4000000;215;3.09
pl-k00104478;Laurin;Curda;Curda;Laurin Curda;SC Paderborn 07;MIDFIELDER;1800000;0;0.0
pl-k00104484;Andreas;Hanche-Olsen;Hanche-Olsen;Andreas Hanche-Olsen;1. FSV Mainz 05;DEFENDER;1700000;32;3.73
pl-k00104485;Julian;Ryerson;Ryerson;Julian Ryerson;Borussia Dortmund;DEFENDER;3200000;186;3.17
pl-k00104505;Emir;Sahiti;Sahiti;Emir Sahiti;Hamburger SV;MIDFIELDER;800000;-4;5.0
pl-k00104827;Tjark;Scheller;Scheller;Tjark Scheller;SC Paderborn 07;DEFENDER;1500000;0;0.0
pl-k00104895;Rocco;Reitz;Reitz;Rocco Reitz;RB Leipzig;MIDFIELDER;2500000;117;3.6
pl-k00104978;Adam;Hlozek;Hlozek;Adam Hlozek;TSG Hoffenheim;FORWARD;2200000;10;0.0
pl-k00105006;Albert;Sambi Lokonga;Sambi Lokonga;Albert Sambi Lokonga;Hamburger SV;MIDFIELDER;2500000;137;3.23
pl-k00105132;Daiki;Hashioka;Hashioka;Daiki Hashioka;Bor. Mönchengladbach;DEFENDER;1600000;0;0.0
pl-k00105180;Jamie;Leweling;Leweling;Jamie Leweling;VfB Stuttgart;MIDFIELDER;4000000;213;3.11
pl-k00105275;Stanley;Nsoki;Nsoki;Stanley Nsoki;1. FC Union Berlin;DEFENDER;1300000;21;4.27
pl-k00105845;Noah;Atubolu;Atubolu;Noah Atubolu;SC Freiburg;GOALKEEPER;3200000;215;3.03
pl-k00106087;Ko;Itakura;Itakura;Ko Itakura;Bor. Mönchengladbach;DEFENDER;2200000;0;0.0
pl-k00106313;Shuto;Machino;Machino;Shuto Machino;Bor. Mönchengladbach;FORWARD;1600000;29;4.6
pl-k00106358;Hiroki;Ito;H. Ito;Hiroki Ito;Bayern München;DEFENDER;2200000;63;3.5
pl-k00106370;Hyun-Seok;Hong;Hong;Hyun-Seok Hong;1. FSV Mainz 05;MIDFIELDER;1200000;0;0.0
pl-k00106928;Felix;Nmecha;F. Nmecha;Felix Nmecha;Borussia Dortmund;MIDFIELDER;3800000;175;3.08
pl-k00106945;Nicholas;Mickelson;Mickelson;Nicholas Mickelson;SV Elversberg;DEFENDER;1300000;0;0.0
pl-k00107692;Jamal;Musiala;Musiala;Jamal Musiala;Bayern München;MIDFIELDER;4500000;81;3.27
pl-k00107769;Miguel;Gutierrez Ortega;Miguel;Miguel;Bayer 04 Leverkusen;DEFENDER;2300000;0;0.0
pl-k00107842;Wouter;Burger;Burger;Wouter Burger;TSG Hoffenheim;MIDFIELDER;3400000;201;3.12
pl-k00107843;Ramon;Hendriks;Hendriks;Ramon Hendriks;VfB Stuttgart;DEFENDER;2400000;139;3.24
pl-k00109512;Marvin;Pieringer;Pieringer;Marvin Pieringer;SC Paderborn 07;FORWARD;1700000;53;4.17
pl-k00109664;Immanuel;Pherai;Pherai;Immanuel Pherai;Hamburger SV;MIDFIELDER;1000000;9;0.0
pl-k00109674;Malik;Tillman;Tillman;Malik Tillman;Bayer 04 Leverkusen;MIDFIELDER;2600000;86;3.87
